"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Critical vector scores higher than low vector","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","14","Bulk update response includes previous_status for each updated item","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","1","HIGH findings are due in 30 days","tests","2026-05-08","passed","2026-05-08","TestDueDateFor","test_sla","",""
"","0","JWT creation and decoding round-trip","tests","2026-05-08","passed","2026-05-08","","test_auth","",""
"","9","Empty ids list returns 400 or 422","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","1","Different byte content produces different signatures","tests","2026-05-08","passed","2026-05-08","TestSignPdf","test_report_signer","",""
"","0","Asset value multipliers are monotonically increasing: LOW < MEDIUM < HIGH < CRITICAL","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","2","encrypt_json returns a non-plaintext string","tests","2026-05-08","passed","2026-05-08","TestCryptoWithKey","test_crypto","",""
"","0","PII data sensitivity raises confidentiality impact","tests","2026-05-08","passed","2026-05-08","TestEnvironmentalScore","test_cvss","",""
"","18","Admin can disable another user account","tests","2026-05-08","passed","2026-05-08","","test_rbac","",""
"","17","Analyst role can access findings list","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","0","High CVSS score (>=9.0) is called out in narrative","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","0","Same bytes and key produce identical signature","tests","2026-05-08","passed","2026-05-08","TestSignPdf","test_report_signer","",""
"","18","Same vulnerability on rescan does not create a duplicate finding","tests","2026-05-08","passed","2026-05-08","TestDeduplicateScan","test_finding_dedup","",""
"","1047","After password change, login succeeds with new password","tests","2026-05-08","passed","2026-05-08","","test_auth_flow","",""
"","0","sqli- template prefix produces tags","tests","2026-05-08","passed","2026-05-08","TestTemplateIdPrefix","test_framework_tagger","",""
"","205","PDF download returns application/pdf content","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","0","CRITICAL findings are due in 7 days","tests","2026-05-08","passed","2026-05-08","TestDueDateFor","test_sla","",""
"","9","Update non-existent target returns 404","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","1","Known severity levels return valid CVSS 3.1 vectors","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","13","Admin role can access stable dashboard routes","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","19","Filter by non-existent scan_id returns empty list","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","0","All test vectors produce scores in valid 0.0–10.0 range","tests","2026-05-08","passed","2026-05-08","TestBaseScore","test_cvss","",""
"","1","Explicit allowlist overrides base_url","tests","2026-05-08","passed","2026-05-08","TestScopeGuardConstruction","test_scope_guard","",""
